iid,gender,age,imprace,imprelig,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,pca_1,pca_2
43.0,1.0,24.0,1.0,1.0,6.0,6.0,3.0,8.0,9.0,6.0,5.0,7.0,7.0,2.0,5.0,5.0,9.0,6.0,7.0,4.0,6.0,5.0,2.0,1.0,3.0,3.0,8.0,3.0,7.0,2.0,1.4988277303357438,0.35742707482109026
44.0,1.0,24.0,3.0,3.0,1.0,3.0,1.0,9.0,1.0,8.0,7.0,8.0,8.0,10.0,6.0,7.0,8.0,1.0,7.0,3.0,8.0,1.0,6.0,8.0,7.0,7.0,9.0,8.0,9.0,9.0,0.17737285343043294,0.13272490657740854
45.0,1.0,28.0,6.0,6.0,2.0,6.0,3.0,9.0,7.0,3.0,6.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,3.0,7.0,7.0,8.0,6.0,8.0,7.0,0.16737637099228525,-0.9816076651774891
46.0,1.0,26.0,2.0,3.0,2.0,6.0,2.0,10.0,7.0,5.0,6.0,7.0,7.0,8.0,3.0,7.0,7.0,4.0,4.0,6.0,5.0,6.0,2.0,7.0,7.0,7.0,8.0,5.0,7.0,7.0,0.852369406168855,-0.5487136428196275
47.0,1.0,30.0,2.0,2.0,1.0,6.0,1.0,6.0,7.0,2.0,8.0,7.0,6.0,3.0,7.0,4.0,7.0,4.0,5.0,8.0,8.0,7.0,2.0,1.0,8.0,8.0,7.0,9.0,9.0,3.0,0.2462178987454214,0.5408237761729984
48.0,1.0,22.0,9.0,2.0,1.0,5.0,2.0,3.0,1.0,6.0,7.0,7.0,8.0,1.0,5.0,8.0,4.0,6.0,10.0,10.0,6.0,8.0,6.0,2.0,6.0,7.0,9.0,6.0,7.0,6.0,-1.3227551949303,0.4482594244836187
49.0,1.0,25.0,1.0,3.0,1.0,3.0,2.0,10.0,7.0,5.0,7.0,6.0,7.0,2.0,8.0,7.0,9.0,5.0,5.0,6.0,5.0,8.0,2.0,7.0,6.0,7.0,10.0,10.0,10.0,8.0,0.4357951040238357,-1.013843770193499
50.0,1.0,27.0,4.0,4.0,6.0,6.0,2.0,10.0,10.0,3.0,8.0,5.0,3.0,4.0,3.0,10.0,5.0,6.0,8.0,10.0,7.0,10.0,6.0,2.0,5.0,8.0,9.0,9.0,10.0,8.0,-0.009747120246675841,-1.7465426374927504
51.0,1.0,23.0,5.0,10.0,1.0,5.0,3.0,6.0,6.0,7.0,3.0,4.0,3.0,6.0,5.0,4.0,5.0,7.0,1.0,6.0,1.0,2.0,2.0,1.0,3.0,6.0,8.0,2.0,10.0,2.0,5.175925303137176,-0.37896115504492184
52.0,1.0,21.0,10.0,9.0,1.0,4.0,1.0,8.0,5.0,3.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,7.0,4.0,6.0,3.0,5.0,4.0,2.0,5.0,5.0,8.0,6.0,8.0,7.0,3.9253062674180526,-0.5494193767480354
53.0,1.0,28.0,2.0,2.0,2.0,6.0,2.0,8.0,4.0,3.0,10.0,9.0,8.0,8.0,4.0,4.0,9.0,5.0,7.0,9.0,9.0,9.0,7.0,3.0,6.0,8.0,9.0,8.0,8.0,8.0,-2.163261144784856,0.848081000247217
54.0,1.0,28.0,1.0,1.0,5.0,5.0,1.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,7.0,8.0,9.0,8.0,8.0,8.0,-0.4598660116624877,2.9967834339850725
55.0,1.0,23.0,1.0,1.0,6.0,4.0,2.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,7.0,6.0,10.0,10.0,9.0,10.0,-0.12565820650272938,-1.8660338788584487
66.0,1.0,29.0,1.0,1.0,2.0,6.0,4.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,6.0,4.0,8.0,6.0,4.0,8.0,4.0,6.0,4.0,2.0,5.0,6.0,7.0,7.0,8.0,8.0,2.111888112090172,1.3190744767960978
67.0,1.0,22.0,1.0,1.0,6.0,5.0,2.0,9.0,9.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,3.0,9.0,9.0,9.0,2.0,1.0,5.0,5.0,7.0,6.0,7.0,7.0,0.6625992487319741,-0.984284601088702
68.0,1.0,27.0,1.0,1.0,5.0,4.0,3.0,3.0,2.0,2.0,7.0,8.0,8.0,3.0,3.0,7.0,10.0,7.0,5.0,9.0,7.0,7.0,7.0,1.0,5.0,6.0,8.0,7.0,8.0,8.0,-0.9071187367280391,2.1622164531189547
69.0,1.0,28.0,2.0,2.0,6.0,6.0,1.0,10.0,7.0,5.0,5.0,3.0,2.0,1.0,3.0,9.0,8.0,2.0,4.0,7.0,6.0,7.0,2.0,1.0,3.0,5.0,9.0,5.0,8.0,8.0,2.9933475409842103,-0.12490536195474405
70.0,1.0,26.0,5.0,1.0,5.0,2.0,1.0,9.0,4.0,9.0,5.0,7.0,5.0,7.0,5.0,5.0,8.0,3.0,7.0,8.0,5.0,8.0,5.0,6.0,3.0,8.0,6.0,8.0,9.0,6.0,0.16035605318566767,0.03388416194544397
71.0,1.0,21.0,6.0,7.0,5.0,6.0,2.0,9.0,10.0,6.0,4.0,3.0,3.0,7.0,6.0,7.0,7.0,8.0,3.0,10.0,6.0,8.0,2.0,1.0,9.0,6.0,8.0,8.0,10.0,10.0,1.8081926384659555,-2.6522156453288304
72.0,1.0,22.0,8.0,1.0,5.0,6.0,1.0,8.0,3.0,7.0,10.0,6.0,6.0,7.0,2.0,9.0,5.0,6.0,7.0,7.0,6.0,8.0,8.0,4.0,7.0,7.0,9.0,8.0,8.0,8.0,-0.1841655782410045,-1.0684226932927992
73.0,1.0,22.0,7.0,3.0,6.0,4.0,2.0,9.0,9.0,7.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,4.0,1.0,2.0,7.0,7.0,8.0,7.0,8.0,2.1824686959794977,-1.4061088929387326
74.0,1.0,25.0,3.0,1.0,5.0,7.0,2.0,8.0,3.0,5.0,9.0,10.0,10.0,9.0,6.0,8.0,10.0,2.0,9.0,10.0,8.0,8.0,3.0,5.0,9.0,7.0,9.0,9.0,8.0,7.0,-3.0844554554789814,0.8561319339990026
75.0,1.0,24.0,3.0,3.0,6.0,5.0,3.0,8.0,2.0,8.0,7.0,7.0,7.0,7.0,5.0,9.0,8.0,8.0,5.0,7.0,6.0,8.0,5.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,-0.23401849982970008,-0.4983016307258533
94.0,1.0,28.0,6.0,8.0,2.0,6.0,3.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,5.0,6.0,9.0,9.0,9.0,7.0,0.8716310521121856,1.020132705368691
95.0,1.0,26.0,7.0,5.0,1.0,5.0,2.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,6.0,7.0,9.0,8.0,10.0,7.0,0.6790455099603415,-2.199558399636701
96.0,1.0,26.0,3.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0,7.0,7.0,9.0,9.0,9.0,9.0,-2.2019941982116764,-0.3736990266293974
97.0,1.0,29.0,4.0,1.0,2.0,5.0,2.0,6.0,8.0,8.0,3.0,3.0,3.0,6.0,1.0,5.0,8.0,3.0,2.0,7.0,3.0,7.0,3.0,5.0,5.0,7.0,5.0,7.0,6.0,6.0,2.939643341437889,0.007796605349316196
98.0,1.0,39.0,1.0,1.0,4.0,4.0,2.0,8.0,8.0,8.0,7.0,3.0,3.0,5.0,1.0,7.0,7.0,3.0,7.0,8.0,6.0,8.0,2.0,7.0,5.0,8.0,8.0,8.0,8.0,8.0,1.1461437676825479,0.22143956679799137
99.0,1.0,28.0,1.0,1.0,3.0,3.0,2.0,5.0,5.0,5.0,8.0,10.0,10.0,5.0,5.0,9.0,6.0,6.0,10.0,10.0,10.0,10.0,8.0,5.0,8.0,10.0,10.0,10.0,10.0,8.0,-4.256478073491524,-0.14808505286008206
100.0,1.0,30.0,8.0,9.0,1.0,3.0,2.0,5.0,4.0,6.0,7.0,6.0,6.0,2.0,2.0,4.0,6.0,5.0,7.0,7.0,3.0,7.0,6.0,2.0,5.0,7.0,8.0,8.0,9.0,6.0,1.4479959203205734,1.197008705211275
101.0,1.0,22.0,3.0,2.0,3.0,4.0,3.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,4.0,7.0,8.0,8.0,8.0,9.0,9.0,-2.548313095325922,-2.2406124376802743
102.0,1.0,32.0,2.0,6.0,1.0,4.0,4.0,9.0,9.0,9.0,9.0,4.0,4.0,7.0,2.0,5.0,5.0,4.0,4.0,9.0,3.0,5.0,5.0,2.0,6.0,8.0,5.0,7.0,10.0,9.0,2.4229625664488137,-1.1684609867810336
103.0,1.0,26.0,8.0,9.0,2.0,4.0,1.0,8.0,7.0,8.0,8.0,6.0,4.0,8.0,5.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,6.0,3.0,6.0,8.0,8.0,8.0,9.0,9.0,0.2168304888472144,-1.693433972275729
104.0,1.0,27.0,6.0,8.0,2.0,5.0,3.0,8.0,3.0,8.0,9.0,8.0,8.0,9.0,5.0,8.0,7.0,3.0,8.0,7.0,6.0,8.0,3.0,7.0,8.0,9.0,8.0,7.0,9.0,9.0,-0.9495803082219644,-0.05527503875341536
105.0,1.0,25.0,1.0,1.0,2.0,7.0,1.0,9.0,9.0,6.0,8.0,5.0,5.0,3.0,4.0,7.0,8.0,6.0,6.0,7.0,4.0,7.0,5.0,5.0,5.0,8.0,7.0,9.0,8.0,6.0,0.9695799027495398,-1.233282140455362
106.0,1.0,22.0,1.0,3.0,5.0,7.0,3.0,2.0,4.0,2.0,9.0,6.0,5.0,4.0,9.0,2.0,9.0,8.0,7.0,9.0,2.0,8.0,5.0,3.0,5.0,4.0,7.0,3.0,9.0,2.0,0.5557784529156244,1.236460662928457
107.0,1.0,21.0,1.0,1.0,1.0,4.0,1.0,7.0,2.0,4.0,7.0,6.0,7.0,8.0,1.0,7.0,7.0,1.0,5.0,7.0,9.0,9.0,1.0,10.0,6.0,7.0,9.0,9.0,9.0,6.0,-0.4604657796050846,0.9494222587190286
108.0,1.0,24.0,1.0,1.0,1.0,6.0,3.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,5.0,4.0,8.0,3.0,7.0,2.0,1.2083374654392034,1.5098568929569018
109.0,1.0,25.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,5.0,6.0,9.0,8.0,9.0,8.0,-2.792682445045703,3.424994171568873
110.0,1.0,28.0,4.0,6.0,2.0,6.0,1.0,4.0,3.0,8.0,7.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,8.0,3.0,6.0,6.0,7.0,9.0,8.0,8.0,7.0,-0.9191114159386857,1.5418590499432072
111.0,1.0,27.0,7.0,1.0,5.0,5.0,1.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,1.0,5.0,9.0,5.0,8.0,9.0,8.0,5.0,3.0,5.0,9.0,5.0,8.0,5.0,8.0,5.0,-1.6892148963197944,0.1458510610238271
122.0,1.0,22.0,1.0,1.0,1.0,3.0,1.0,7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,6.0,7.0,10.0,8.0,8.0,8.0,-0.8189428856621478,-1.7971749938377521
123.0,1.0,18.0,3.0,5.0,2.0,5.0,1.0,9.0,9.0,8.0,8.0,3.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,5.0,8.0,7.0,7.0,7.0,8.0,2.517649832063803,-3.6208507877798324
124.0,1.0,22.0,1.0,1.0,2.0,4.0,1.0,5.0,5.0,8.0,10.0,8.0,8.0,6.0,5.0,8.0,8.0,6.0,9.0,9.0,9.0,8.0,8.0,7.0,6.0,8.0,8.0,10.0,10.0,10.0,-2.7712100578433123,-0.6307349790918139
125.0,1.0,21.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,9.0,10.0,9.0,10.0,1.0,1.0,10.0,9.0,2.0,9.0,9.0,9.0,9.0,10.0,7.0,6.0,9.0,6.0,10.0,9.0,10.0,-3.4503563820092977,1.001224965492745
126.0,1.0,22.0,7.0,5.0,4.0,6.0,3.0,10.0,8.0,7.0,8.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,6.0,9.0,10.0,9.0,9.0,9.0,-1.8209141262931816,-0.864223896281659
127.0,1.0,22.0,1.0,1.0,6.0,5.0,1.0,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,1.0,8.0,8.0,9.0,9.0,8.0,2.3908878449062496,-2.7336008541056325
128.0,1.0,21.0,3.0,1.0,1.0,3.0,2.0,8.0,7.0,7.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,10.0,2.0,2.0,5.0,8.0,7.0,7.0,8.0,7.0,0.8694076660887987,-1.402772061851823
129.0,1.0,26.587591240875913,1.0,1.0,3.0,3.0,3.0,7.0,4.0,7.0,9.0,4.0,5.0,9.0,2.0,6.0,9.0,4.0,4.0,7.0,6.0,6.0,4.0,6.0,10.0,8.0,8.0,8.0,8.0,8.0,0.8861716043762214,-0.10251930451658488
130.0,1.0,20.0,4.0,1.0,1.0,6.0,2.0,7.0,4.0,9.0,8.0,3.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,6.0,5.0,6.0,6.0,6.0,6.0,3.8316256894476326,-1.562739392732924
131.0,1.0,19.0,4.0,1.0,2.0,7.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,8.0,7.0,6.0,8.0,7.0,6.0,5.0,3.0,5.0,4.0,6.0,4.0,6.0,6.0,0.6851084681132302,0.48730404849919723
137.0,1.0,26.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,8.0,8.0,4.0,4.0,1.0,5.0,7.0,4.0,7.0,1.0,9.0,9.0,10.0,8.0,3.0,7.0,7.0,9.0,8.0,9.0,8.0,0.39528681032784513,-1.4794875735835729
138.0,1.0,32.0,9.0,6.0,1.0,3.0,2.0,7.0,2.0,9.0,8.0,6.0,6.0,1.0,7.0,7.0,9.0,9.0,4.0,9.0,2.0,9.0,6.0,2.0,6.0,8.0,8.0,8.0,8.0,8.0,0.5837587713489925,-0.3855097916586823
139.0,1.0,37.0,6.0,1.0,1.0,6.0,3.0,7.0,5.0,8.0,10.0,9.0,9.0,6.0,5.0,6.0,10.0,8.0,7.0,10.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,6.0,-3.285287983782578,-0.0007491980399502676
140.0,1.0,29.0,5.0,5.0,1.0,5.0,2.0,8.0,6.0,8.0,9.0,5.0,5.0,5.0,5.0,7.0,9.0,6.0,7.0,6.0,4.0,5.0,4.0,3.0,6.0,7.0,7.0,9.0,8.0,8.0,1.435495872156255,-0.42729799511108146
141.0,1.0,28.0,4.0,4.0,1.0,6.0,2.0,10.0,10.0,3.0,9.0,5.0,5.0,7.0,5.0,7.0,3.0,8.0,9.0,10.0,8.0,9.0,6.0,6.0,4.0,7.0,9.0,8.0,8.0,6.0,-0.8904267044865106,-2.2002286558936945
158.0,1.0,23.0,3.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,5.0,8.0,4.0,9.0,5.0,1.0,7.0,7.0,9.0,7.0,9.0,6.0,0.503754124062286,0.5526058555213741
159.0,1.0,28.0,7.0,2.0,1.0,6.0,2.0,7.0,7.0,6.0,9.0,9.0,8.0,6.0,4.0,5.0,8.0,7.0,7.0,9.0,8.0,9.0,7.0,2.0,6.0,5.0,9.0,8.0,9.0,7.0,-1.8823009565150142,-0.21768851831779018
160.0,1.0,29.0,3.0,4.0,2.0,5.0,2.0,9.0,8.0,10.0,6.0,6.0,4.0,3.0,4.0,8.0,6.0,3.0,7.0,9.0,6.0,9.0,3.0,2.0,6.0,8.0,8.0,9.0,8.0,9.0,0.43273732037659723,-1.2431833061711226
161.0,1.0,22.0,6.0,2.0,2.0,4.0,2.0,9.0,9.0,9.0,8.0,7.0,6.0,7.0,7.0,9.0,9.0,8.0,6.0,8.0,6.0,9.0,6.0,2.0,7.0,8.0,7.0,9.0,9.0,7.0,-0.783818054647062,-2.6245014833985323
162.0,1.0,27.0,1.0,1.0,2.0,6.0,2.0,3.0,3.0,3.0,8.0,7.0,7.0,6.0,2.0,8.0,5.0,4.0,3.0,9.0,10.0,10.0,7.0,3.0,4.0,7.0,8.0,7.0,9.0,8.0,-0.9886863609009855,0.9517700875020216
163.0,1.0,26.0,1.0,1.0,4.0,3.0,3.0,6.0,2.0,2.0,4.0,8.0,8.0,4.0,1.0,1.0,8.0,1.0,6.0,6.0,4.0,6.0,2.0,1.0,2.0,7.0,8.0,8.0,9.0,7.0,1.5781969026618263,3.7312244328358823
164.0,1.0,27.0,1.0,1.0,1.0,6.0,2.0,7.0,5.0,5.0,6.0,7.0,7.0,7.0,1.0,3.0,7.0,2.0,5.0,6.0,4.0,6.0,2.0,2.0,5.0,7.0,9.0,6.0,9.0,4.0,1.5582291568683824,1.6110402859220176
165.0,1.0,30.0,4.0,7.0,3.0,6.0,3.0,3.0,1.0,6.0,6.0,7.0,7.0,2.0,1.0,1.0,10.0,8.0,8.0,8.0,5.0,5.0,2.0,2.0,6.0,8.0,6.0,7.0,9.0,2.0,0.7052321794143588,3.317229827711771
166.0,1.0,26.0,1.0,9.0,5.0,5.0,2.0,5.0,5.0,9.0,4.0,4.0,2.0,5.0,1.0,3.0,9.0,1.0,5.0,8.0,7.0,10.0,1.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,1.6129192759358457,1.1689818292227954
167.0,1.0,23.0,1.0,1.0,2.0,6.0,2.0,9.0,9.0,8.0,6.0,8.0,8.0,9.0,2.0,5.0,6.0,5.0,6.0,8.0,6.0,7.0,3.0,2.0,3.0,6.0,7.0,7.0,7.0,5.0,0.09094063035353195,-0.534042956370139
168.0,1.0,23.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.744808145128043,1.0814404482853057
169.0,1.0,28.0,2.0,3.0,2.0,6.0,2.0,10.0,7.0,8.0,9.0,9.0,7.0,7.0,1.0,6.0,4.0,2.0,7.0,6.0,8.0,8.0,4.0,4.0,6.0,7.0,9.0,7.0,8.0,7.0,-0.3419095294711496,-0.4290764932547163
170.0,1.0,28.0,2.0,1.0,1.0,5.0,3.0,2.0,1.0,8.0,8.0,8.0,8.0,5.0,3.0,1.0,9.0,8.0,7.0,8.0,6.0,8.0,4.0,5.0,6.0,7.0,8.0,6.0,9.0,8.0,-1.0379056642998221,2.2155012002550443
171.0,1.0,29.0,1.0,1.0,1.0,4.0,2.0,8.0,2.0,8.0,8.0,5.0,5.0,5.0,2.0,8.0,9.0,6.0,6.0,9.0,4.0,9.0,7.0,1.0,8.0,10.0,10.0,10.0,10.0,10.0,-0.07765715484387781,-0.25026860174610815
172.0,1.0,27.0,5.0,7.0,1.0,3.0,1.0,7.0,8.0,7.0,8.0,4.0,5.0,5.0,6.0,8.0,7.0,4.0,6.0,8.0,8.0,7.0,6.0,3.0,5.0,5.0,6.0,9.0,8.0,9.0,0.5922257499157866,-1.2686748208040575
173.0,1.0,22.0,5.0,7.0,1.0,4.0,1.0,10.0,8.0,9.0,6.0,5.0,6.0,7.0,4.0,8.0,7.0,4.0,5.0,6.0,9.0,10.0,3.0,6.0,3.0,7.0,9.0,9.0,9.0,9.0,0.41955714160906465,-1.7263656706075061
184.0,1.0,34.0,1.0,1.0,2.0,4.0,2.0,5.0,2.0,4.0,8.0,8.0,7.0,8.0,3.0,8.0,8.0,3.0,9.0,8.0,5.0,6.0,2.0,8.0,9.0,6.0,10.0,7.0,9.0,5.0,-1.1752332204044402,1.916709149792562
185.0,1.0,25.0,3.0,4.0,1.0,7.0,4.0,8.0,7.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,6.0,10.0,10.0,7.0,8.0,8.0,-3.2884767265138186,-1.8601883054233455
186.0,1.0,24.0,4.0,3.0,1.0,7.0,3.0,5.0,1.0,4.0,9.0,5.0,3.0,6.0,1.0,1.0,6.0,7.0,4.0,7.0,8.0,8.0,6.0,3.0,7.0,4.0,8.0,4.0,7.0,6.0,1.2149471480010516,0.8851668048666043
187.0,1.0,26.0,10.0,5.0,2.0,4.0,1.0,3.0,5.0,10.0,5.0,10.0,10.0,1.0,2.0,1.0,10.0,5.0,8.0,8.0,10.0,10.0,1.0,1.0,6.0,8.0,9.0,7.0,10.0,7.0,-1.713715533984162,2.3465500646436435
188.0,1.0,21.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,5.0,10.0,8.0,8.0,5.0,7.0,5.0,7.0,3.0,5.0,5.0,5.0,7.0,7.0,3.0,6.0,7.0,5.0,7.0,10.0,10.0,0.09261948422674884,1.2540094049213677
189.0,1.0,27.0,6.0,1.0,1.0,6.0,2.0,8.0,7.0,8.0,5.0,7.0,7.0,7.0,7.0,7.0,9.0,5.0,7.0,9.0,7.0,8.0,4.0,7.0,5.0,8.0,8.0,8.0,8.0,9.0,-1.2792617207358554,-0.8815380766045733
190.0,1.0,25.0,1.0,1.0,2.0,7.0,3.0,7.0,7.0,8.0,3.0,2.0,2.0,6.0,5.0,9.0,8.0,2.0,4.0,7.0,9.0,10.0,3.0,1.0,8.0,7.0,7.0,7.0,7.0,7.0,1.288984390863669,-1.5363538319329653
191.0,1.0,28.0,6.0,1.0,5.0,4.0,2.0,8.0,1.0,7.0,8.0,6.0,6.0,6.0,1.0,8.0,7.0,3.0,4.0,8.0,4.0,7.0,1.0,7.0,4.0,7.0,7.0,6.0,7.0,8.0,1.3047379909496284,1.2472971643845825
192.0,1.0,24.0,2.0,7.0,1.0,6.0,2.0,7.0,5.0,7.0,7.0,3.0,2.0,6.0,8.0,7.0,9.0,6.0,3.0,6.0,7.0,8.0,4.0,5.0,4.0,7.0,10.0,9.0,9.0,10.0,2.012729827261849,-1.2378943119274342
193.0,1.0,25.0,2.0,2.0,1.0,6.0,2.0,8.0,10.0,7.0,9.0,9.0,8.0,1.0,1.0,4.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,5.0,4.0,7.0,9.0,5.0,10.0,7.0,-2.966191099608865,-0.563592947425852
214.0,1.0,23.0,6.0,8.0,1.0,6.0,2.0,9.0,3.0,10.0,8.0,6.0,7.0,7.0,4.0,7.0,3.0,1.0,9.0,6.0,4.0,6.0,7.0,1.0,6.0,8.0,10.0,10.0,9.0,8.0,1.0241205304839018,-0.8753137786931633
